log_text,label
[INFO] Authorization failure for execute on cache,1
Critical bug in AuthModule: data corruption detected,1
Out of memory error during write,1
SCHEMA VALIDATION ERROR: MISSING REQUIRED FIELD (SEE LOGS FOR DETAILS),1
"Connection to UserService timed out after 10000ms, retrying...",0
CRITICAL: Unhandled null reference in AuthModule,1
Assertion failed: x > 0 at Module.go:42,1
[WARN] Array index out of bounds at data[1000],1
Verification failed: result should not be null,1
RANDOM FAILURE DETECTED IN E2ETEST.TESTCREATE,0
ERROR: Linker error: unresolved symbol 'cleanup',1
"WARN: Concurrent access issue detected, marking as flaky",0
API contract violation: missing required field 'user_id',1
Logic error: division by zero in compute,1
[INFO] Stack overflow in recursive call at compute,1
CRITICAL: Unhandled null reference in CacheManager,1
"DATABASE CONNECTION POOL EXHAUSTED, WAITING FOR FREE CONNECTION...",0
Heap corruption detected in custom_allocator,1
REGRESSION: FEATURE REPORT-GENERATION BROKEN AFTER COMMIT DEF5678,1
Spurious failure in parallel test execution: TestAPIEndpoint,0
[INFO] Build failed: syntax error in Handler.ts:128,1
"Thread timing issue in TestUserLogin, intermittent failure",0
Non-deterministic test result in TestPaymentFlow,0
OUT OF MEMORY ERROR DURING EXECUTE,1
Spurious failure in parallel test execution: TestPaymentFlow,0
Intermittent failure in TestDataSync: connection reset by peer,0
"Concurrent access issue detected, marking as flaky",0
[WARN] API contract violation: missing required field 'status' !,1
Security violation: invalid token in AuthService,1
[ERROR] HEAP CORRUPTION DETECTED IN DEFAULT_ALLOCATOR,1
"[DEBUG] TEST TESTAPIENDPOINT IS UNSTABLE, SKIPPING FOR NOW",0
"ERROR: Database connection pool exhausted, waiting for free connection",0
[ERROR] Stack overflow in recursive call at validate,1
Intermittent failure in TestDataSync: connection reset by peer,0
"[DEBUG] CI infrastructure hiccup, restarting job [retryable]",0
Deadlock detected but recovered in CacheManager,0
CRITICAL: Unhandled null reference in CacheManager [retryable],1
ERROR: Process crashed with signal SIGSEGV,1
Array index out of bounds at data[10] !,1
[ERROR] Temporary resource exhaustion in thread_pool...,0
Deadlock detected but recovered in AuthModule,0
[WARN] Test flapping: TestDataSync passed after 5 retries,0
"Timeout waiting for file lock, test marked as flaky",0
Verification failed: values should match,1
Temporary resource exhaustion in memory_pool,0
"FLAKY: Test TestPaymentFlow failed intermittently, known issue !",0
LINKER ERROR: UNRESOLVED SYMBOL 'INIT' [RETRYABLE],1
"BUG: Incorrect calculation in calculateTotal: expected 200, got []",1
JENKINS AGENT DISCONNECTED TEMPORARILY DURING BUILD,0
Security violation: invalid token in AuthService,1
Heap corruption detected in custom_allocator,1
Array index out of bounds at data[1000],1
"NETWORK ERROR: CONNECTION REFUSED TO API-HOST:9200, ATTEMPT 1/3",0
WARN: Authorization failure for execute on connection pool,1
Temporary resource exhaustion in connection_pool !,0
"Container startup timeout, extending deadline",0
Array index out of bounds at data[1000],1
Spurious failure in parallel test execution: TestPaymentFlow,0
"WARN: Database connection pool exhausted, waiting for free connection",0
Schema validation error: invalid format,1
Deadlock detected but recovered in Scheduler,0
Spurious failure in parallel test execution: TestUserLogin,0
CRITICAL: Authentication bypass detected in /api/auth,1
"DATABASE CONNECTION POOL EXHAUSTED, WAITING FOR FREE CONNECTION",0
Permission denied: user user123 lacks access to connection pool,1
Linker error: unresolved symbol 'main',1
AssertionError: Expected 200 but got null,1
REGRESSION: Feature report-generation broken after commit abc1234,1
"Connection to DatabaseService timed out after 30000ms, retrying...",0
CRITICAL: Authentication bypass detected in /api/users,1
Random failure detected in E2ETest.testDelete,0
"Socket timeout during write, will retry",0
Verification failed: list should not be empty,1
Missing dependency: libpq required by services,1
Deadlock detected but recovered in DataLayer,0
"ERROR: Concurrent access issue detected, marking as flaky",0
[DEBUG] Process crashed with signal SIGSEGV !,1
"[DEBUG] Test TestPaymentFlow is unstable, skipping for now [retryable]",0
Array index out of bounds at data[10],1
"Network error: connection refused to db-server:5432, attempt 2/3 !",0
[WARN] Missing dependency: node_modules required by handlers,1
"Socket timeout during write, will retry !",0
"WARN: Build node worker-3 experiencing high load, test delayed",0
"Concurrent access issue detected, marking as flaky",0
"[WARN] Cache miss caused timeout, retrying operation",0
[DEBUG] REGRESSION: Output differs from expected in TestCacheInvalidation,1
ERROR: Verification failed: list should not be empty,1
Build failed: syntax error in Main.java:128,1
AssertionError: Expected 42 but got 500 (see logs for details),1
[WARN] Spurious failure in parallel test execution: TestConcurrentAccess,0
"Container startup timeout, extending deadline",0
Test flapping: TestConcurrentAccess passed after 2 retries,0
SCHEMA VALIDATION ERROR: MISSING REQUIRED FIELD,1
