log_text,label
CRITICAL: Unhandled null reference in AuthModule,1
"Cache miss caused timeout, retrying operation",0
"CI infrastructure hiccup, restarting job",0
"Test TestDataSync is unstable, skipping for now",0
"[DEBUG] Connection to MessageQueue timed out after 1000ms, retrying... !",0
Stack overflow in recursive call at validate,1
"CI infrastructure hiccup, restarting job",0
CRITICAL: Unhandled null reference in CacheManager [retryable],1
"Test assertion mismatch: expected=200, actual=500",1
JENKINS AGENT DISCONNECTED TEMPORARILY DURING BUILD,0
"[DEBUG] Build node node-1 experiencing high load, test delayed",0
CRITICAL: Unhandled null reference in EventBus,1
CRITICAL: Authentication bypass detected in /api/payments !,1
Assertion failed: x > 0 at Controller.cs:42,1
Non-deterministic test result in TestAuthFlow,0
[INFO] Out of memory error during write,1
"Socket timeout during execute, will retry",0
"ERROR: BUG: Incorrect calculation in processPayment: expected 42, got false (see logs for details)",1
Compilation error: undefined reference to 'process_data' (see logs for details),1
TypeError: Cannot read property 'data' of undefined,1
Heap corruption detected in default_allocator,1
"[WARN] Thread timing issue in TestUserLogin, intermittent failure",0
"Concurrent access issue detected, marking as flaky (see logs for details)",0
[ERROR] Logic error: division by zero in handle,1
Non-deterministic test result in TestUserLogin !,0
AssertionError: Expected 42 but got 500...,1
"WARN: Test TestPaymentFlow is unstable, skipping for now",0
"BUG: Incorrect calculation in validateInput: expected 200, got ""error""",1
Critical bug in DataLayer: data corruption detected,1
Logic error: division by zero in compute,1
"ERROR: Container startup timeout, extending deadline",0
Spurious failure in parallel test execution: TestAuthFlow,0
"Thread timing issue in TestConcurrentAccess, intermittent failure",0
Non-deterministic test result in TestUserLogin...,0
[INFO] Verification failed: values should match,1
"[DEBUG] Timeout waiting for file lock, test marked as flaky",0
[WARN] API contract violation: missing required field 'status' (see logs for details),1
"Database connection pool exhausted, waiting for free connection",0
"Network error: connection refused to api-host:8080, attempt 3/3",0
Stack overflow in recursive call at transform,1
[WARN] Missing dependency: vendor required by core,1
"Container startup timeout, extending deadline",0
WARN: Security violation: invalid token in NotificationService,1
Temporary resource exhaustion in connection_pool,0
"[ERROR] BUG: Incorrect calculation in validateInput: expected true, got null",1
"[DEBUG] Test TestPaymentFlow is unstable, skipping for now [retryable]",0
Spurious failure in parallel test execution: TestPaymentFlow,0
"WARN: Timeout waiting for database, test marked as flaky",0
Temporary resource exhaustion in connection_pool,0
"Concurrent access issue detected, marking as flaky",0
Intermittent failure in TestUserLogin: connection reset by peer,0
Process crashed with signal SIGSEGV,1
"Container startup timeout, extending deadline [retryable]",0
[INFO] REGRESSION: Output differs from expected in TestCacheInvalidation,1
"Timeout waiting for file lock, test marked as flaky",0
Missing dependency: libpq required by handlers,1
ERROR: Non-deterministic test result in TestDataSync,0
Type mismatch in Handler.ts: cannot convert int to int,1
"Thread timing issue in TestCacheInvalidation, intermittent failure",0
"Build node node-2 experiencing high load, test delayed",0
"Concurrent access issue detected, marking as flaky",0
[ERROR] Permission denied: user test_user lacks access to file lock,1
"WARN: BUG: Incorrect calculation in validateInput: expected 42, got 0",1
Random failure detected in E2ETest.testDelete,0
"Timeout waiting for cache, test marked as flaky",0
Out of memory error during read,1
Jenkins agent disconnected temporarily during build,0
[INFO] NullReferenceException in org.project.core.CacheHandler !,1
CRITICAL: Authentication bypass detected in /api/data,1
"Test TestPaymentFlow is unstable, skipping for now",0
ERROR: Integration test failed: service CacheService returned unexpected status 500,1
[INFO] Jenkins agent disconnected temporarily during validate !,0
Deadlock detected but recovered in AuthModule,0
Random failure detected in IntegrationTest.testValidation !,0
"Test TestAPIEndpoint is unstable, skipping for now",0
STACK OVERFLOW IN RECURSIVE CALL AT EXECUTE [RETRYABLE],1
"FLAKY: Test TestAPIEndpoint failed intermittently, known issue",0
Array index out of bounds at data[10],1
[ERROR] Schema validation error: missing required field,1
"ERROR: Possible race condition in EventBus, test unreliable",0
[WARN] Verification failed: list should not be empty,1
"Database connection pool exhausted, waiting for free connection",0
Integration test failed: service UserService returned unexpected status 404,1
Service DatabaseService temporarily unavailable,0
NullReferenceException in org.project.core.CacheHandler,1
"Possible race condition in AuthModule, test unreliable",0
Intermittent failure in TestPaymentFlow: connection reset by peer,0
"Timeout waiting for file lock, test marked as flaky",0
FATAL ERROR: Segmentation fault in DataLayer (see logs for details),1
[INFO] REGRESSION: Feature user-login broken after commit def5678,1
[INFO] AUTHORIZATION FAILURE FOR DELETE ON MEMORY,1
ERROR: Missing dependency: libpq required by handlers,1
Authorization failure for write on connection pool,1
Non-deterministic test result in TestPaymentFlow !,0
"Container startup timeout, extending deadline",0
"Socket timeout during delete, will retry (see logs for details)",0
Linker error: unresolved symbol 'main',1
"Response mismatch in /api/auth: expected HTTP [1,2,3], got 500",1
Array index out of bounds at results[1000] !,1
Process crashed with signal SIGSEGV,1
"CI infrastructure hiccup, restarting job !",0
[DEBUG] Stack overflow in recursive call at handle,1
Test flapping: TestConcurrentAccess passed after 3 retries,0
Process crashed with signal SIGSEGV,1
CRITICAL: Unhandled null reference in CacheManager,1
WARN: Deadlock detected but recovered in CacheManager,0
"Network error: connection refused to localhost:5432, attempt 1/3 !",0
[WARN] Array index out of bounds at data[1000],1
Heap corruption detected in default_allocator,1
"FLAKY: Test TestAuthFlow failed intermittently, known issue",0
[DEBUG] Critical bug in AuthModule: data corruption detected,1
CRITICAL: Authentication bypass detected in /api/auth,1
"Socket timeout during execute, will retry",0
Resource temporarily unavailable: memory...,0
[DEBUG] CRITICAL: Unhandled null reference in AuthModule,1
"ERROR: Database connection pool exhausted, waiting for free connection",0
CRITICAL: Authentication bypass detected in /api/payments,1
Jenkins agent disconnected temporarily during deploy,0
"Thread timing issue in TestConcurrentAccess, intermittent failure",0
Non-deterministic test result in TestAPIEndpoint [retryable],0
Stack overflow in recursive call at handle,1
Random failure detected in IntegrationTest.testValidation,0
Process crashed with signal SIGSEGV,1
ValueError: Expected number but got object,1
"SOCKET TIMEOUT DURING WRITE, WILL RETRY...",0
[ERROR] Service CacheService temporarily unavailable,0
Test flapping: TestConcurrentAccess passed after 2 retries,0
