log_message,stack_trace,test_name,error_type,duration_ms,retry_count,memory_mb,cpu_percent,line_number,file_count,test_count,failure_rate_history,time_since_last_success,network_latency_ms,db_response_time_ms,queue_size,component,environment,severity,build_tool,os,language,ci_platform,trigger_type,branch_type,day_of_week,is_timeout,is_network_error,has_retry,is_first_run,parallel_execution,has_external_dependency,is_flaky
"Database connection pool exhausted, waiting for available connection",,test_process_config_user,LockContentionException,4662,3,554,37,919,25,245,0.424,7.09,381,368,837,user,staging,info,pip,macos,python,travis,manual,release,wednesday,0,0,0,0,1,1,1
Circular dependency detected in session,,test_authenticate_connection_session,IllegalStateException,402,0,1235,42,902,9,262,0.244,58.47,34,66,72,session,dev,warning,go,windows,go,circleci,push,develop,tuesday,0,0,1,1,0,1,0
"External API postgresql returned 503, scheduled retry in 500ms","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.api.ApiService.process(ApiService.java:228)
    at com.example.test.ReadResponseApiTest.test_read_response_api(ReadResponseApiTest.java:163)",test_read_response_api,TemporaryFailureException,3531,3,483,13,261,7,86,0.457,35.7,30,31,739,api,integration,info,cargo,linux,go,jenkins,push,feature,tuesday,0,0,0,0,0,0,1
Assertion failed: x > 0 was false,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.queue.QueueService.execute(QueueService.java:163)
    at com.example.queue.QueueHandler.validate(QueueHandler.java:194)
    at com.example.test.ValidateUserQueueTest.test_validate_user_queue(ValidateUserQueueTest.java:49)",test_validate_user_queue,NullPointerException,475,0,381,10,820,9,291,0.33,68.91,118,37,797,queue,staging,info,npm,linux,go,travis,manual,feature,wednesday,1,0,0,0,0,0,0
"Service kafka temporarily unavailable, backing off for 1000ms","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.search.SearchService.process(SearchService.java:137)
    at com.example.test.AuthorizeSessionSearchTest.test_authorize_session_search(AuthorizeSessionSearchTest.java:63)",test_authorize_session_search,IllegalArgumentException,910,3,385,10,252,16,338,0.656,29.36,133,13,333,search,integration,warning,maven,linux,rust,circleci,pull_request,hotfix,thursday,1,0,0,0,0,0,1
Schema validation failed: status does not match pattern,"java.lang.IndexOutOfBoundsException: Index 66 out of bounds for length 14
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.payment.PaymentService.run(PaymentService.java:438)
    at com.example.test.ReadResponsePaymentTest.test_read_response_payment(ReadResponsePaymentTest.java:30)",test_read_response_payment,IllegalArgumentException,5961,0,300,8,708,45,87,0.36,53.0,39,18,357,payment,dev,critical,pip,linux,go,github_actions,push,develop,wednesday,0,0,0,0,1,0,0
"Network partition simulated, connection restored after 3839ms","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.cache.CacheService.run(CacheService.java:166)
    at com.example.test.ReadUserCacheTest.test_read_user_cache(ReadUserCacheTest.java:128)",test_read_user_cache,TransientFailureException,3092,0,149,13,969,35,454,0.369,10.64,411,149,36,cache,prod,error,maven,macos,python,gitlab_ci,tag,main,thursday,0,1,0,0,1,1,1
Race condition detected in concurrent test execution,"java.lang.IndexOutOfBoundsException: Index 68 out of bounds for length 28
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.notification.NotificationService.execute(NotificationService.java:253)
    at com.example.test.UpdateSessionNotificationTest.test_update_session_notification(UpdateSessionNotificationTest.java:160)",test_update_session_notification,ConnectionResetException,1200,0,274,16,917,31,311,0.384,5.1,130,93,878,notification,integration,info,npm,windows,java,travis,pull_request,main,tuesday,1,0,1,0,0,0,1
Socket connection reset by peer during write,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.auth.AuthService.run(AuthService.java:263)
    at com.example.test.SearchPaymentAuthTest.test_search_payment_auth(SearchPaymentAuthTest.java:143)",test_search_payment_auth,IndexOutOfBoundsException,2462,0,442,18,594,22,257,0.552,14.22,44,66,323,auth,staging,info,gradle,windows,kotlin,gitlab_ci,manual,main,thursday,1,0,1,0,1,1,1
"Resource memory busy, waiting for lock release","org.apache.http.conn.ConnectTimeoutException: Connect to notification.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.notification.HttpClient.execute(HttpClient.java:315)
    at com.example.test.SearchDataNotificationTest.test_search_data_notification(SearchDataNotificationTest.java:89)",test_search_data_notification,IllegalArgumentException,1652,1,326,15,789,34,486,0.267,1.44,20,33,985,notification,staging,warning,go,linux,go,jenkins,pull_request,feature,monday,1,0,1,0,1,0,1
Configuration error: property 'cache.ttl' not found,"java.lang.IndexOutOfBoundsException: Index 87 out of bounds for length 7
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.database.DatabaseService.process(DatabaseService.java:474)
    at com.example.test.ProcessResponseDatabaseTest.test_process_response_database(ProcessResponseDatabaseTest.java:134)",test_process_response_database,LockContentionException,1480,0,366,11,738,9,244,0.519,49.65,133,53,616,database,prod,warning,gradle,windows,java,jenkins,push,feature,sunday,0,0,0,0,0,0,0
Configuration error: property 'api.key' not found,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.cache.CacheService.run(CacheService.java:289)
    at com.example.cache.CacheHandler.transform(CacheHandler.java:117)
    at com.example.test.AuthorizeUserCacheTest.test_authorize_user_cache(AuthorizeUserCacheTest.java:108)",test_authorize_user_cache,ClassCastException,1145,0,1772,25,598,29,267,0.0,59.99,116,27,683,cache,prod,warning,gradle,windows,java,gitlab_ci,pull_request,develop,tuesday,0,0,0,0,1,0,0
Circular dependency detected in queue,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.queue.QueueService.process(QueueService.java:468)
    at com.example.test.DeleteConnectionQueueTest.test_delete_connection_queue(DeleteConnectionQueueTest.java:114)",test_delete_connection_queue,IllegalStateException,2103,0,201,49,158,12,21,0.464,8.94,117,110,148,queue,dev,critical,maven,macos,go,travis,manual,release,sunday,0,1,0,0,0,0,0
Assertion failed: x > 0 was false,,test_transform_data_search,ServiceUnavailableException,7081,0,102,10,650,20,480,0.595,79.49,84,113,91,search,staging,info,cargo,windows,rust,travis,manual,main,friday,0,0,1,0,1,1,1
Socket connection reset by peer during read,,test_create_connection_storage,ConcurrencyException,1258,1,2098,6,138,22,276,0.344,16.82,248,42,973,storage,staging,warning,pip,linux,kotlin,jenkins,push,hotfix,wednesday,0,0,1,0,0,1,1
Configuration error: property 'cache.ttl' not found,,test_read_order_analytics,ConnectionResetException,388,0,134,15,201,3,164,0.259,59.26,140,36,504,analytics,integration,critical,pip,windows,rust,gitlab_ci,pull_request,feature,thursday,0,0,0,0,0,0,0
Circular dependency detected in analytics,"java.util.concurrent.TimeoutException: Future timed out after 10000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.analytics.AsyncService.await(AsyncService.java:140)
    at com.example.test.UpdateConnectionAnalyticsTest.test_update_connection_analytics(UpdateConnectionAnalyticsTest.java:161)",test_update_connection_analytics,TemporaryFailureException,1125,1,521,27,203,41,4,0.329,6.95,101,56,292,analytics,test,info,go,linux,javascript,github_actions,tag,hotfix,wednesday,0,1,0,1,0,1,1
Test TestDatabase_18 passed after 0 retries due to timing issue,,test_transform_cache_database,ClassCastException,6169,0,201,44,23,5,231,0.343,6.38,69,24,603,database,dev,info,gradle,windows,go,circleci,schedule,release,thursday,0,0,0,0,0,1,0
Contract violation: isInitialized not satisfied,,test_delete_data_analytics,SecurityException,1682,1,1688,35,384,32,200,0.475,40.08,64,76,146,analytics,prod,error,go,linux,python,jenkins,schedule,hotfix,friday,0,0,1,0,1,0,0
Socket connection reset by peer during read,,test_create_payment_search,IndexOutOfBoundsException,6374,0,830,23,127,16,477,0.277,69.96,138,112,61,search,prod,critical,maven,macos,go,travis,tag,hotfix,monday,1,1,1,0,1,0,1
Socket connection reset by peer during read,"org.apache.http.conn.ConnectTimeoutException: Connect to user.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.user.HttpClient.execute(HttpClient.java:496)
    at com.example.test.DeleteOrderUserTest.test_delete_order_user(DeleteOrderUserTest.java:121)",test_delete_order_user,TransientFailureException,507,2,651,73,995,11,328,0.21,24.76,18,54,235,user,prod,error,pip,linux,kotlin,jenkins,push,develop,friday,1,1,1,0,0,1,1
"Network latency spike detected: 883ms, threshold exceeded","org.apache.http.conn.ConnectTimeoutException: Connect to database.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.database.HttpClient.execute(HttpClient.java:156)
    at com.example.test.UpdateRequestDatabaseTest.test_update_request_database(UpdateRequestDatabaseTest.java:117)",test_update_request_database,ServiceUnavailableException,2338,1,692,93,45,29,318,0.168,24.39,63,25,270,database,staging,error,cargo,windows,rust,jenkins,schedule,release,wednesday,1,0,0,0,0,1,1
Race condition detected in concurrent test execution,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.storage.StorageService.process(StorageService.java:212)
    at com.example.storage.StorageHandler.transform(StorageHandler.java:278)
    at com.example.test.ReadSessionStorageTest.test_read_session_storage(ReadSessionStorageTest.java:24)",test_read_session_storage,ConcurrencyException,6695,2,115,99,117,34,228,0.428,40.73,13,26,577,storage,prod,critical,gradle,windows,python,gitlab_ci,tag,main,wednesday,0,1,0,0,1,1,1
Memory pressure caused GC pause of 200ms during test,"org.apache.http.conn.ConnectTimeoutException: Connect to payment.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.payment.HttpClient.execute(HttpClient.java:454)
    at com.example.test.FilterOrderPaymentTest.test_filter_order_payment(FilterOrderPaymentTest.java:72)",test_filter_order_payment,TemporaryFailureException,2012,2,199,18,578,35,170,0.565,43.73,36,194,343,payment,staging,error,gradle,windows,go,travis,tag,feature,sunday,1,1,0,1,0,0,1
"External API mongodb returned 503, scheduled retry in 1000ms","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.queue.QueueService.run(QueueService.java:422)
    at com.example.test.TransformSessionQueueTest.test_transform_session_queue(TransformSessionQueueTest.java:21)",test_transform_session_queue,LockContentionException,280,1,127,42,228,8,304,0.169,20.48,73,47,852,queue,dev,warning,npm,linux,java,travis,schedule,release,sunday,0,0,0,0,0,0,1
"Database connection pool exhausted, waiting for available connection","java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.database.DatabaseService.process(DatabaseService.java:89)
    at com.example.database.DatabaseHandler.convert(DatabaseHandler.java:359)
    at com.example.test.ProcessUserDatabaseTest.test_process_user_database(ProcessUserDatabaseTest.java:150)",test_process_user_database,IndexOutOfBoundsException,296,1,531,55,996,43,353,0.162,78.69,90,41,346,database,prod,info,gradle,macos,python,github_actions,pull_request,hotfix,tuesday,1,1,1,0,0,0,0
Intermittent failure in database: resource unavailable,,test_authorize_data_database,IndexOutOfBoundsException,1905,0,706,11,696,5,241,0.992,12.96,13,24,424,database,integration,error,maven,macos,python,travis,pull_request,hotfix,thursday,1,0,0,0,1,0,0
Async operation timed out but completed successfully on retry,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.queue.QueueService.run(QueueService.java:240)
    at com.example.test.SearchOrderQueueTest.test_search_order_queue(SearchOrderQueueTest.java:52)",test_search_order_queue,ServiceUnavailableException,2003,2,454,17,184,23,280,0.38,30.62,96,156,412,queue,dev,critical,cargo,windows,python,travis,manual,feature,monday,1,0,1,1,0,1,1
"Database connection pool exhausted, waiting for available connection","java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.api.ApiService.execute(ApiService.java:216)
    at com.example.api.ApiHandler.convert(ApiHandler.java:96)
    at com.example.test.ReadDataApiTest.test_read_data_api(ReadDataApiTest.java:63)",test_read_data_api,ConfigurationException,3113,3,360,45,203,44,272,0.171,22.68,82,61,953,api,prod,warning,gradle,windows,java,gitlab_ci,push,develop,monday,0,0,0,1,0,0,1
"Database connection pool exhausted, waiting for available connection","org.apache.http.conn.ConnectTimeoutException: Connect to notification.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.notification.HttpClient.execute(HttpClient.java:130)
    at com.example.test.AuthorizeUserNotificationTest.test_authorize_user_notification(AuthorizeUserNotificationTest.java:100)",test_authorize_user_notification,TransientFailureException,339,2,171,41,22,49,27,0.038,69.52,79,161,618,notification,prod,critical,maven,linux,rust,gitlab_ci,pull_request,develop,sunday,0,0,1,0,0,0,1
"Database connection pool exhausted, waiting for available connection",,test_process_payment_notification,IllegalArgumentException,1512,0,859,7,730,36,298,0.271,17.25,221,135,290,notification,dev,info,go,windows,go,circleci,pull_request,release,wednesday,1,1,0,0,0,1,1
Array index 678 out of bounds for length 38,,test_update_data_session,AssertionError,567,1,189,28,989,39,30,0.076,22.55,47,22,471,session,staging,warning,gradle,macos,kotlin,travis,manual,main,sunday,0,0,0,0,1,0,0
Race condition detected in concurrent test execution,"org.apache.http.conn.ConnectTimeoutException: Connect to queue.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.queue.HttpClient.execute(HttpClient.java:216)
    at com.example.test.FilterUserQueueTest.test_filter_user_queue(FilterUserQueueTest.java:182)",test_filter_user_queue,RaceConditionException,482,0,480,61,117,49,381,0.485,47.6,113,36,176,queue,test,error,npm,windows,javascript,github_actions,tag,hotfix,thursday,0,0,1,1,0,0,0
"External API postgresql returned 503, scheduled retry in 100ms",,test_validate_session_analytics,TemporaryFailureException,1575,0,152,30,421,37,93,0.417,10.88,27,75,191,analytics,dev,critical,cargo,windows,javascript,circleci,tag,main,wednesday,1,0,0,1,0,0,0
Thread pool saturation caused temporary request rejection,,test_search_cache_analytics,RetryableException,1504,0,189,24,53,26,411,0.423,18.74,3,11,604,analytics,dev,error,maven,macos,python,jenkins,push,hotfix,monday,0,1,0,0,0,0,1
Missing required field 'status' in Request,"org.apache.http.conn.ConnectTimeoutException: Connect to session.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.session.HttpClient.execute(HttpClient.java:84)
    at com.example.test.AuthenticateSessionSessionTest.test_authenticate_session_session(AuthenticateSessionSessionTest.java:66)",test_authenticate_session_session,SecurityException,5988,2,474,23,23,48,14,0.487,2.49,57,40,605,session,integration,error,gradle,windows,kotlin,github_actions,schedule,main,tuesday,0,1,0,0,0,1,1
